itemid,itemse,itemex,itemde,itemun,itemnm,itemag,itemda,itemwk,itemgr
"coefC1CH4 ","x"," ",   0.660000    ,"{no unit}           ","gas transfer CH4 coefficient rain scale 1         ","volume    ","volume    "," ","                              "
"coefC2CH4 ","x"," ",    1.00000    ,"{no unit}           ","gas transfer CH4 coefficient rain scale 2         ","volume    ","volume    "," ","                              "
"coefD1CH4 ","x"," ",    1800.06    ,"{no unit}           ","fresh water coefficient1 for Schmidt nr CH4       ","volume    ","volume    "," ","                              "
"coefD2CH4 ","x"," ",    120.100    ,"{no unit}           ","fresh water coefficient2 for Schmidt nr CH4       ","volume    ","volume    "," ","                              "
"coefD3CH4 ","x"," ",    3.78180    ,"{no unit}           ","fresh water coefficient3 for Schmidt nr CH4       ","volume    ","volume    "," ","                              "
"coefD4CH4 ","x"," ",   0.476080E-01,"{no unit}           ","fresh water coefficient4 for Schmidt nr CH4       ","volume    ","volume    "," ","                              "
"RCVolCH4  ","x"," ",   -999.000    ,"(1/d)               ","rate constant for volatilisation                  ","volume    ","volume    "," ","                              "
"SatPercCH4","x"," ",   -999.000    ,"(%)                 ","Actual saturation percentage of methane           ","volume    ","volume    "," ","                              "
"dVolCH4   ","x"," ",   -999.000    ,"(gC/m3/d)           ","reaeration flux                                   ","volume    ","volume    "," ","                              "
"lKstH2S   ","x"," ",   -7.10000    ,"(-)                 ","log acidity constant for H2S (l.mole-1)           ","volume    ","volume    "," ","                              "
"TcKstH2S  ","x"," ",    1.00000    ,"(-)                 ","temperature coefficient for KstH2S                ","volume    ","volume    "," ","                              "
"lKstHS    ","x"," ",   -14.0000    ,"(-)                 ","log acidity constant for HS- (l.mole-1)           ","volume    ","volume    "," ","                              "
"TcKstHS   ","x"," ",    1.00000    ,"(-)                 ","temperature coefficient for KstHS                 ","volume    ","volume    "," ","                              "
"DisH2SWK  ","x"," ",   -999.000    ,"(mole/l)            ","hydrogen sulphide concentration H2S               ","volume    ","volume    "," ","                              "
"DisHSWK   ","x"," ",    0.00000    ,"(mole/l)            ","(HS-) in water column                             ","volume    ","volume    "," ","                              "
"DisSWK    ","x"," ",    0.00000    ,"(mole/l)            ","(S--) in water column                             ","volume    ","volume    "," ","                              "
"FrH2Sdis  ","x"," ",   -999.000    ,"(-)                 ","fraction of dissolved hydrogen sulphide           ","volume    ","volume    "," ","                              "
"FrHSdis   ","x"," ",   -999.000    ,"(-)                 ","fraction (HS-) in water column                    ","volume    ","volume    "," ","                              "
"FrS2dis   ","x"," ",    0.00000    ,"(-)                 ","fraction dissolved free sulphide                  ","volume    ","volume    "," ","                              "
"SUDS1     ","x"," ",   0.100000E-03,"(gS/m3)             ","total dissolved sulphide concentration            ","volume    ","volume    "," ","                              "
"lKstH2Ss  ","x"," ",   -7.10000    ,"(-)                 ","log acidity constant for H2S (l.mole-1)           ","volume    ","volume    "," ","                              "
"TcKstH2Ss ","x"," ",    1.00000    ,"(-)                 ","temperature coefficient for KstH2S                ","volume    ","volume    "," ","                              "
"lKstHSs   ","x"," ",   -14.0000    ,"(-)                 ","log acidity constant for HS- (l.mole-1)           ","volume    ","volume    "," ","                              "
"TcKstHSs  ","x"," ",    1.00000    ,"(-)                 ","temperature coefficient for KstHS                 ","volume    ","volume    "," ","                              "
"pHS1      ","x"," ",    7.00000    ,"(-)                 ","pH                                                ","volume    ","volume    "," ","                              "
"DisH2SWKS1","x"," ",   -999.000    ,"(mole/l)            ","hydrogen sulphide concentration H2S S1            ","volume    ","volume    "," ","                              "
"DisHSWKS1 ","x"," ",   -999.000    ,"(mole/l)            ","(HS-) in S1                                       ","volume    ","volume    "," ","                              "
"DisSWKS1  ","x"," ",   -999.000    ,"(mole/l)            ","(S--) in S1                                       ","volume    ","volume    "," ","                              "
"FrH2SdisS1","x"," ",   -999.000    ,"(-)                 ","fraction of dissolved hydrogen sulphide S1        ","volume    ","volume    "," ","                              "
"FrHSdisS1 ","x"," ",   -999.000    ,"(-)                 ","fraction (HS-) in S1                              ","volume    ","volume    "," ","                              "
"FrS2disS1 ","x"," ",   -999.000    ,"(-)                 ","fraction dissolved free sulphide S1               ","volume    ","volume    "," ","                              "
"SUDS2     ","x"," ",   0.100000E-03,"(gS/m3)             ","total dissolved sulphide concentration            ","volume    ","volume    "," ","                              "
"pHS2      ","x"," ",    7.00000    ,"(-)                 ","pH                                                ","volume    ","volume    "," ","                              "
"DisH2SWKS2","x"," ",   -999.000    ,"(mole/l)            ","hydrogen sulphide concentration H2S S2            ","volume    ","volume    "," ","                              "
"DisHSWKS2 ","x"," ",   -999.000    ,"(mole/l)            ","(HS-) in S2                                       ","volume    ","volume    "," ","                              "
"DisSWKS2  ","x"," ",   -999.000    ,"(mole/l)            ","(S--) in S2                                       ","volume    ","volume    "," ","                              "
"FrH2SdisS2","x"," ",   -999.000    ,"(-)                 ","fraction of dissolved hydrogen sulphide S2        ","volume    ","volume    "," ","                              "
"FrHSdisS2 ","x"," ",   -999.000    ,"(-)                 ","fraction (HS-) in S2                              ","volume    ","volume    "," ","                              "
"FrS2disS2 ","x"," ",   -999.000    ,"(-)                 ","fraction dissolved free sulphide S2               ","volume    ","volume    "," ","                              "
"Rc0Sox    ","x"," ",    0.00000    ,"(gS/m3/d)           ","zero-order oxidation rate                         ","volume    ","volume    "," ","                              "
"RcSox20   ","x"," ",   0.100000    ,"(m3.d/g)            ","second order oxidation rate at 20 oC              ","volume    ","volume    "," ","                              "
"TcSox     ","x"," ",    1.07000    ,"(-)                 ","temperature coefficient for oxidation             ","volume    ","volume    "," ","                              "
"CoxSUD    ","x"," ",    0.00000    ,"(g/m3)              ","critical DO concentration for oxidation           ","volume    ","volume    "," ","                              "
"dSUDox    ","x"," ",   -999.000    ,"(gS/m3/d)           ","sulphide oxidation flux                           ","volume    ","volume    "," ","                              "
"DisSEqFeS ","x"," ",   0.100000E-09,"(mole/l)            ","saturation free sulphide concentration            ","volume    ","volume    "," ","                              "
"RcDisS20  ","x"," ",   0.100000E+07,"(1/d)               ","first order dissolution rate at 20 oC             ","volume    ","volume    "," ","                              "
"TcDisS    ","x"," ",    1.07000    ,"(-)                 ","temperature coeff. for dissolution sulphide       ","volume    ","volume    "," ","                              "
"RcPrcS20  ","x"," ",   0.100000E+07,"(1/d)               ","first order precipitation rate at 20 oC           ","volume    ","volume    "," ","                              "
"TcPrcS    ","x"," ",    1.07000    ,"(-)                 ","temperature coeff. for precipitation sulphide     ","volume    ","volume    "," ","                              "
"dSUDprec  ","x"," ",   -999.000    ,"(gS/m3/d)           ","sulphide precipitation flux                       ","volume    ","volume    "," ","                              "
"dSUDdis   ","x"," ",   -999.000    ,"(gS/m3/d)           ","sulphide dissolution flux                         ","volume    ","volume    "," ","                              "
"Rc0MetOx  ","x"," ",    0.00000    ,"(gC/m3/d)           ","zero-order oxid. rate with DO at low temp         ","volume    ","volume    "," ","                              "
"RcMetOx20 ","x"," ",   0.100000    ,"(gN/m3/d)           ","MM- oxidation rate with DO at 20 oC               ","volume    ","volume    "," ","                              "
"TcMetOx   ","x"," ",    1.07000    ,"(-)                 ","temperature coefficient for oxid. with DO         ","volume    ","volume    "," ","                              "
"KsMet     ","x"," ",   0.500000    ,"(gC/m3)             ","half saturation constant for methane              ","volume    ","volume    "," ","                              "
"KsOxMet   ","x"," ",    1.00000    ,"(g/m3)              ","half saturation constant for DO                   ","volume    ","volume    "," ","                              "
"CoxMet    ","x"," ",   0.500000    ,"(g/m3)              ","critical DO concentration for oxidation           ","volume    ","volume    "," ","                              "
"Rc0MetSu  ","x"," ",    0.00000    ,"(gC/m3/d)           ","zero-order oxid. rate with SU at low temp         ","volume    ","volume    "," ","                              "
"RcMetSu20 ","x"," ",   0.100000    ,"(gS/m3/d)           ","MM- oxidation rate with sulphate at 20 oC         ","volume    ","volume    "," ","                              "
"TcMetSu   ","x"," ",    1.07000    ,"(-)                 ","temperature coefficient for oxid. with sulphate   ","volume    ","volume    "," ","                              "
"KsSuMet   ","x"," ",    1.00000    ,"(gS/m3)             ","half saturation constant for SO4 inhibition       ","volume    ","volume    "," ","                              "
"CsuMet    ","x"," ",    0.00000    ,"(gS/m3)             ","critical sulphate concentration for oxid.         ","volume    ","volume    "," ","                              "
"CTMetOx   ","x"," ",    3.00000    ,"(oC)                ","critical temperature for methane oxidation        ","volume    ","volume    "," ","                              "
"RadMetInh ","x"," ",    300.000    ,"(W/m2)              ","irradiation for full inhibition                   ","volume    ","volume    "," ","                              "
"KSRadFr   ","x"," ",   -999.000    ,"(-)                 ","half saturation (light inhib) for frac SurfRad    ","volume    ","volume    "," ","                              "
"KSRadSh   ","x"," ",    25.0000    ,"(-)                 ","shape factor for light inhibition function        ","volume    ","volume    "," ","                              "
"OxFuncMet ","x"," ",   -999.000    ,"(-)                 ","oxygen function for methane oxidation             ","volume    ","volume    "," ","                              "
"SuFuncMet ","x"," ",   -999.000    ,"(-)                 ","sulphate function for methane oxidation           ","volume    ","volume    "," ","                              "
"LIFuncMet ","x"," ",   -999.000    ,"(-)                 ","light inhibition function for methane ox          ","volume    ","volume    "," ","                              "
"dMethoxDO ","x"," ",   -999.000    ,"(gC/m3/d)           ","methane oxidation flux with DO                    ","volume    ","volume    "," ","                              "
"dMethoxSu ","x"," ",   -999.000    ,"(gC/m3/d)           ","methane oxidation flux with sulphate              ","volume    ","volume    "," ","                              "
"lKstFe3OH ","x"," ",   -3.05000    ,"(-)                 ","log stability constant for Fe3OH2+ (l.mole-1)     ","volume    ","volume    "," ","                              "
"lKstFe3OH2","x"," ",   -6.31000    ,"(-)                 ","log stability constant for Fe3OH2+ (l.mole-1)     ","volume    ","volume    "," ","                              "
"TcKFe3OH  ","x"," ",    1.00000    ,"(-)                 ","temperature coefficient for KstFe3OH              ","volume    ","volume    "," ","                              "
"TcKFe3OH2 ","x"," ",    1.00000    ,"(-)                 ","temperature coefficient for KstFe3OH2             ","volume    ","volume    "," ","                              "
"lKstFe2OH ","x"," ",   -9.50000    ,"(-)                 ","log stability constant for Fe2OH+ (l.mole-1)      ","volume    ","volume    "," ","                              "
"lKstFe2OH2","x"," ",   -17.0000    ,"(-)                 ","log stability constant for Fe2OH2 (l.mole-1)      ","volume    ","volume    "," ","                              "
"TcKFe2OH  ","x"," ",    1.00000    ,"(-)                 ","temperature coefficient for KstFe2OH              ","volume    ","volume    "," ","                              "
"TcKFe2OH2 ","x"," ",    1.00000    ,"(-)                 ","temperature coefficient for KstFe2OH2             ","volume    ","volume    "," ","                              "
"DisFe3    ","x"," ",   -999.000    ,"(mole/l)            ","concentration of free dissolved iron(III)         ","volume    ","volume    "," ","                              "
"DisFe3OH  ","x"," ",   -999.000    ,"(mole/l)            ","concentration of dissolved FeOH2+                 ","volume    ","volume    "," ","                              "
"DisFe3OH2 ","x"," ",   -999.000    ,"(mole/l)            ","concentration of dissolved Fe(OH)2+               ","volume    ","volume    "," ","                              "
"FrFe3dis  ","x"," ",    0.00000    ,"(-)                 ","fraction dissolved free iron(III)                 ","volume    ","volume    "," ","                              "
"FrFe3OHd  ","x"," ",   -999.000    ,"(-)                 ","fraction of dissolved FeOH2+                      ","volume    ","volume    "," ","                              "
"FrFe3OH2d ","x"," ",   -999.000    ,"(-)                 ","fraction of dissolved Fe(OH)2+                    ","volume    ","volume    "," ","                              "
"DisFe2    ","x"," ",   -999.000    ,"(mole/l)            ","concentration of free dissolved iron(II)          ","volume    ","volume    "," ","                              "
"DisFe2OH  ","x"," ",   -999.000    ,"(mole/l)            ","concentration of dissolved FeOH+                  ","volume    ","volume    "," ","                              "
"DisFe2OH2 ","x"," ",   -999.000    ,"(mole/l)            ","concentration of dissolved Fe(OH)2                ","volume    ","volume    "," ","                              "
"FrFe2dis  ","x"," ",    0.00000    ,"(-)                 ","fraction dissolved free iron(II)                  ","volume    ","volume    "," ","                              "
"FrFe2OHd  ","x"," ",   -999.000    ,"(-)                 ","fraction of dissolved FeOH+                       ","volume    ","volume    "," ","                              "
"FrFe2OH2d ","x"," ",   -999.000    ,"(-)                 ","fraction of dissolved Fe(OH)2                     ","volume    ","volume    "," ","                              "
"RcI1oxox20","x"," ",    0.00000    ,"(m3/gO2/d)          ","rate of Fe2+ oxid. with oxygen at 20 oC           ","volume    ","volume    "," ","                              "
"RcI2oxox20","x"," ",    0.00000    ,"(m3/gO2/d)          ","rate of FeOH+ oxid. with oxygen at 20 oC          ","volume    ","volume    "," ","                              "
"RcI3oxox20","x"," ",    0.00000    ,"(m3/gO2/d)          ","rate of Fe(OH)2 oxid. with oxygen T=20            ","volume    ","volume    "," ","                              "
"RcI1oxni20","x"," ",    0.00000    ,"(m3/gN/d)           ","rate of Fe2+ oxidation with nitrate T=20          ","volume    ","volume    "," ","                              "
"RcI2oxni20","x"," ",    0.00000    ,"(m3/gN/d)           ","rate of FeOH+ oxidation with nitrate T=20         ","volume    ","volume    "," ","                              "
"RcI3oxni20","x"," ",    0.00000    ,"(m3/gN/d)           ","rate of Fe(OH)2 oxid. with nitrate T=20           ","volume    ","volume    "," ","                              "
"TcIox     ","x"," ",    1.00000    ,"(-)                 ","temperature coefficient for iron oxidation        ","volume    ","volume    "," ","                              "
"fioo      ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron oxidation with oxygen                ","volume    ","volume    "," ","                              "
"fion      ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron oxidation with nitrate               ","volume    ","volume    "," ","                              "
"dioo      ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron oxidation with oxygen                ","volume    ","volume    "," ","                              "
"dion      ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron oxidation with nitrate               ","volume    ","volume    "," ","                              "
"RcFeSox20 ","x"," ",    0.00000    ,"(m3/gO2/d)          ","specific rate of iron sulphide oxidation          ","volume    ","volume    "," ","                              "
"RcFeS2ox20","x"," ",    0.00000    ,"(m3/gO2/d)          ","specific rate of pyrite oxidation                 ","volume    ","volume    "," ","                              "
"TcFeSox   ","x"," ",    0.00000    ,"(-)                 ","temperature coeff. for iron sulphide oxidation    ","volume    ","volume    "," ","                              "
"fFeSox    ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron sulphide oxidation                   ","volume    ","volume    "," ","                              "
"fFeS2ox   ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of of pyrite oxidation                       ","volume    ","volume    "," ","                              "
"dFeSox    ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron sulphide oxidation                   ","volume    ","volume    "," ","                              "
"dFeS2ox   ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of of pyrite oxidation                       ","volume    ","volume    "," ","                              "
"RcFeaH2S20","x"," ",    0.00000    ,"(m3/gS/d)           ","rate of amorphous iron red. with H2S              ","volume    ","volume    "," ","                              "
"RcFecH2S20","x"," ",    0.00000    ,"(m3/gS/d)           ","rate of crystalline iron red. with H2S            ","volume    ","volume    "," ","                              "
"RcFeaFeS20","x"," ",    0.00000    ,"(m3/gFe/d)          ","rate of amorphous iron red. with FeS              ","volume    ","volume    "," ","                              "
"RcFecFeS20","x"," ",    0.00000    ,"(m3/gFe/d)          ","rate of crystalline iron red. with FeS            ","volume    ","volume    "," ","                              "
"TcFeRed   ","x"," ",    0.00000    ,"(-)                 ","temperature coeff. for abiotic iron reduction     ","volume    ","volume    "," ","                              "
"fire1     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of amorphous iron red. with H2S              ","volume    ","volume    "," ","                              "
"fire2     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of crystalline iron red. with H2S            ","volume    ","volume    "," ","                              "
"fire3     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of amorphous iron red. with FeS              ","volume    ","volume    "," ","                              "
"fire4     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of crystalline iron red. with FeS            ","volume    ","volume    "," ","                              "
"dire1     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of amorphous iron red. with H2S              ","volume    ","volume    "," ","                              "
"dire2     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of crystalline iron red. with H2S            ","volume    ","volume    "," ","                              "
"dire3     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of amorphous iron red. with FeS              ","volume    ","volume    "," ","                              "
"dire4     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of crystalline iron red. with FeS            ","volume    ","volume    "," ","                              "
"lKspFeOH3 ","x"," ",    0.00000    ,"(-)                 ","log solubility product for Fe(OH)3                ","volume    ","volume    "," ","                              "
"RcAgFe320 ","x"," ",    0.00000    ,"(1/d)               ","specific iron(III) aging rate at 20 oC            ","volume    ","volume    "," ","                              "
"RcDisFe320","x"," ",    0.00000    ,"(1/d)               ","specific iron(III) dissolution rate at 20 oC      ","volume    ","volume    "," ","                              "
"RcPrcFe320","x"," ",    0.00000    ,"(gFe/m3/d)          ","specific iron(III) precipitation rate             ","volume    ","volume    "," ","                              "
"TcAgFe3   ","x"," ",    0.00000    ,"(-)                 ","temperature coeff. for iron(III) aging            ","volume    ","volume    "," ","                              "
"TcDisFe3  ","x"," ",    0.00000    ,"(-)                 ","temperature coeff. for iron(III) dissolution      ","volume    ","volume    "," ","                              "
"TcPrcFe3  ","x"," ",    0.00000    ,"(-)                 ","temperature coeff. for iron(III) precipitation    ","volume    ","volume    "," ","                              "
"lKspFeS   ","x"," ",    0.00000    ,"(-)                 ","log solubility product for FeS                    ","volume    ","volume    "," ","                              "
"lKspFeCO3 ","x"," ",    0.00000    ,"(-)                 ","log solubility product for FeCO3                  ","volume    ","volume    "," ","                              "
"RcPyrite20","x"," ",    0.00000    ,"(gS/m3/d)           ","specific pyrite formation rate at 20 oC           ","volume    ","volume    "," ","                              "
"RcDisFeS20","x"," ",    0.00000    ,"(1/d)               ","iron(II) sulphide dissolution rate                ","volume    ","volume    "," ","                              "
"RcPrcFeS20","x"," ",    0.00000    ,"(gFe/m3/d)          ","iron(II) sulphide precipitation rate              ","volume    ","volume    "," ","                              "
"RcDisFeC20","x"," ",    0.00000    ,"(1/d)               ","iron(II) carbonate dissolution rate               ","volume    ","volume    "," ","                              "
"RcPrcFeC20","x"," ",    0.00000    ,"(gFe/m3/d)          ","iron(II) carbonate precipitation rate             ","volume    ","volume    "," ","                              "
"TcPyrite  ","x"," ",    0.00000    ,"(-)                 ","temperature coeff. for pyrite formation           ","volume    ","volume    "," ","                              "
"TcDisFeS  ","x"," ",    0.00000    ,"(-)                 ","temperature coeff. for iron(II) sulphide diss.    ","volume    ","volume    "," ","                              "
"TcPrcFeS  ","x"," ",    0.00000    ,"(-)                 ","temperature coeff. for iron(II) sulphide prec.    ","volume    ","volume    "," ","                              "
"TcDisFeCO3","x"," ",    0.00000    ,"(-)                 ","temperature coeff. for iron(II) carbonate diss.   ","volume    ","volume    "," ","                              "
"TcPrcFeCO3","x"," ",    0.00000    ,"(-)                 ","temperature coeff. for iron(II) carbonate prec.   ","volume    ","volume    "," ","                              "
"fpfe3     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of amorphous iron(III) precipitat.           ","volume    ","volume    "," ","                              "
"fdfe3     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of amorphous iron(III) dissolution           ","volume    ","volume    "," ","                              "
"fafe3     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of amorphous iron(III) aging                 ","volume    ","volume    "," ","                              "
"fpfes     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron(II) sulphide precipitation           ","volume    ","volume    "," ","                              "
"fdfes     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron(II) sulphide dissolution             ","volume    ","volume    "," ","                              "
"fpfeco3   ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron(II) carbonate precipitation          ","volume    ","volume    "," ","                              "
"fdfeco3   ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron(II) carbonate dissolution            ","volume    ","volume    "," ","                              "
"fpyr      ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of pyrite formation                          ","volume    ","volume    "," ","                              "
"dpfe3     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of amorphous iron(III) precipitat.           ","volume    ","volume    "," ","                              "
"ddfe3     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of amorphous iron(III) dissolution           ","volume    ","volume    "," ","                              "
"dafe3     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of amorphous iron(III) aging                 ","volume    ","volume    "," ","                              "
"dpfes     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron(II) sulphide precipitation           ","volume    ","volume    "," ","                              "
"ddfes     ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron(II) sulphide dissolution             ","volume    ","volume    "," ","                              "
"dpfeco3   ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron(II) carbonate precipitation          ","volume    ","volume    "," ","                              "
"ddfeco3   ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of iron(II) carbonate dissolution            ","volume    ","volume    "," ","                              "
"dpyr      ","x"," ",   -999.000    ,"(gFe/m3/d)          ","rate of pyrite formation                          ","volume    ","volume    "," ","                              "
"V0SedIM1  ","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity IM1                        ","volume    ","volume    "," ","                              "
"CrSS      ","x"," ",    100.000    ,"(gDM/m3)            ","crit. susp. solid concentration for flocculation  ","volume    ","volume    "," ","                              "
"nIM1      ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function IM1          ","volume    ","volume    "," ","                              "
"TcSED     ","x"," ",    1.00000    ,"(-)                 ","temperature coefficient for sedimentation         ","volume    ","volume    "," ","                              "
"SMax      ","x"," ",    5.00000    ,"(g/kg)              ","salinity at which salinity function is maximal    ","volume    ","volume    "," ","                              "
"EnhSedIM1 ","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor for IM1         ","volume    ","volume    "," ","                              "
"VSedIM1   ","x","x",   0.100000    ,"(m/d)               ","sedimentation velocity IM1                        ","volume    ","volume    "," ","                              "
"SalFunIM1 ","x"," ",   -999.000    ,"(-)                 ","salinity function on settling IM1                 ","volume    ","volume    "," ","                              "
"FloFunIM1 ","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling IM1             ","volume    ","volume    "," ","                              "
"V0SedIM2  ","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity IM2                        ","volume    ","volume    "," ","                              "
"nIM2      ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function IM2          ","volume    ","volume    "," ","                              "
"EnhSedIM2 ","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor for IM2         ","volume    ","volume    "," ","                              "
"VSedIM2   ","x","x",   0.100000    ,"(m/d)               ","sedimentation velocity IM2                        ","volume    ","volume    "," ","                              "
"SalFunIM2 ","x"," ",   -999.000    ,"(-)                 ","salinity function on settling IM2                 ","volume    ","volume    "," ","                              "
"FloFunIM2 ","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling IM2             ","volume    ","volume    "," ","                              "
"V0SedIM3  ","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity IM3                        ","volume    ","volume    "," ","                              "
"nIM3      ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function IM3          ","volume    ","volume    "," ","                              "
"EnhSedIM3 ","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor for IM3         ","volume    ","volume    "," ","                              "
"VSedIM3   ","x","x",   0.100000    ,"(m/d)               ","sedimentation velocity IM3                        ","volume    ","volume    "," ","                              "
"SalFunIM3 ","x"," ",   -999.000    ,"(-)                 ","salinity function on settling IM3                 ","volume    ","volume    "," ","                              "
"FloFunIM3 ","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling IM3             ","volume    ","volume    "," ","                              "
"V0SedDiat ","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity Diatoms                    ","volume    ","volume    "," ","                              "
"nDiat     ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function Diatoms      ","volume    ","volume    "," ","                              "
"EnhSedDiat","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor for Diatoms     ","volume    ","volume    "," ","                              "
"VSedDiat  ","x","x",   0.100000    ,"(m/d)               ","sedimentation velocity Diatoms                    ","volume    ","volume    "," ","                              "
"SalFunDiat","x"," ",   -999.000    ,"(-)                 ","salinity function on settling Diatoms             ","volume    ","volume    "," ","                              "
"FloFunDiat","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling Diatoms         ","volume    ","volume    "," ","                              "
"V0SedGreen","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity Gree                       ","volume    ","volume    "," ","                              "
"nGreen    ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function Greens       ","volume    ","volume    "," ","                              "
"EnhSedGree","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor for Greens      ","volume    ","volume    "," ","                              "
"VSedGreen ","x","x",    0.00000    ,"(m/d)               ","sedimentation velocity Greens                     ","volume    ","volume    "," ","                              "
"SalFunGree","x"," ",   -999.000    ,"(-)                 ","salinity function on settling Greens              ","volume    ","volume    "," ","                              "
"FloFunGree","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling Greens          ","volume    ","volume    "," ","                              "
"V0SedAlg  ","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity algal type                 ","volume    ","volume    "," ","                              "
"nAlg      ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function              ","volume    ","volume    "," ","                              "
"EnhSdAlg  ","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor for algae       ","volume    ","volume    "," ","                              "
"VsedAlg   ","x","x",   -999.000    ,"(m/d)               ","sedimentation velocity algae                      ","volume    ","volume    "," ","                              "
"SalFnAlg  ","x"," ",   -999.000    ,"(-)                 ","salinity function on sedimentation algae type     ","volume    ","volume    "," ","                              "
"FloFnAlg  ","x"," ",   -999.000    ,"(-)                 ","flocculation function on sedimentation algae      ","volume    ","volume    "," ","                              "
"V0SedAlg01","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity algae type 01              ","volume    ","volume    "," ","                              "
"nAlg01    ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function algae type 01","volume    ","volume    "," ","                              "
"EnhSdAlg01","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor algae type 01   ","volume    ","volume    "," ","                              "
"VSedAlg01 ","x","x",    0.00000    ,"(m/d)               ","sedimentation velocity algae type 01              ","volume    ","volume    "," ","                              "
"SalFnAlg01","x"," ",   -999.000    ,"(-)                 ","salinity function on settling algae type 01       ","volume    ","volume    "," ","                              "
"FloFnAlg01","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling algae type 01   ","volume    ","volume    "," ","                              "
"V0SedAlg02","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity algae type 02              ","volume    ","volume    "," ","                              "
"nAlg02    ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function algae type 02","volume    ","volume    "," ","                              "
"EnhSdAlg02","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor algae type 02   ","volume    ","volume    "," ","                              "
"VSedAlg02 ","x","x",    0.00000    ,"(m/d)               ","sedimentation velocity algae type 02              ","volume    ","volume    "," ","                              "
"SalFnAlg02","x"," ",   -999.000    ,"(-)                 ","salinity function on settling algae type 02       ","volume    ","volume    "," ","                              "
"FloFnAlg02","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling algae type 02   ","volume    ","volume    "," ","                              "
"V0SedAlg03","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity algae type 03              ","volume    ","volume    "," ","                              "
