procid,procco,procfo,procnm
"TrSe2_APAT",  3,"TRASE2    ","Total of transport in sediment for APATP          "
"TrSe2_F3pa",  3,"TRASE2    ","Total of transport in sediment for Fe3pa          "
"TrSe2_F3pc",  3,"TRASE2    ","Total of transport in sediment for Fe3pc          "
"TrSe2_Fe3d",  3,"TRASE2    ","Total of transport in sediment for Fe3d           "
"TrSe2_Fe2d",  3,"TRASE2    ","Total of transport in sediment for Fe2d           "
"TrSe2_FeS ",  3,"TRASE2    ","Total of transport in sediment for FeS            "
"TrSe2_FeS2",  3,"TRASE2    ","Total of transport in sediment for FeS2           "
"TrSe2_FCO3",  3,"TRASE2    ","Total of transport in sediment for FeCO3          "
"TrSe2_Opal",  3,"TRASE2    ","Total of transport in sediment for Opal           "
"TraSe2_TIC",  3,"TRASE2    ","Total of transport in sediment for TIC            "
"TrSe2_Alka",  3,"TRASE2    ","Total of transport in sediment for Alka           "
"TrSe2_MPB1",  3,"TRASE2    ","Total of transport in sediment for MPB1peli       "
"TrSe2_MPB2",  3,"TRASE2    ","Total of transport in sediment for MPB2psam       "
"TrSe2Alg01",  3,"TRASE2    ","Total of transport in sediment for BloomAlg01     "
"TrSe2Alg02",  3,"TRASE2    ","Total of transport in sediment for BloomAlg02     "
"TrSe2Alg03",  3,"TRASE2    ","Total of transport in sediment for BloomAlg03     "
"TrSe2Alg04",  3,"TRASE2    ","Total of transport in sediment for BloomAlg04     "
"TrSe2Alg05",  3,"TRASE2    ","Total of transport in sediment for BloomAlg05     "
"TrSe2Alg06",  3,"TRASE2    ","Total of transport in sediment for BloomAlg06     "
"TrSe2Alg07",  3,"TRASE2    ","Total of transport in sediment for BloomAlg07     "
"TrSe2Alg08",  3,"TRASE2    ","Total of transport in sediment for BloomAlg08     "
"TrSe2Alg09",  3,"TRASE2    ","Total of transport in sediment for BloomAlg09     "
"TrSe2Alg10",  3,"TRASE2    ","Total of transport in sediment for BloomAlg10     "
"TrSe2Alg11",  3,"TRASE2    ","Total of transport in sediment for BloomAlg11     "
"TrSe2Alg12",  3,"TRASE2    ","Total of transport in sediment for BloomAlg12     "
"TrSe2Alg13",  3,"TRASE2    ","Total of transport in sediment for BloomAlg13     "
"TrSe2Alg14",  3,"TRASE2    ","Total of transport in sediment for BloomAlg14     "
"TrSe2Alg15",  3,"TRASE2    ","Total of transport in sediment for BloomAlg15     "
"TrSe2Alg16",  3,"TRASE2    ","Total of transport in sediment for BloomAlg16     "
"TrSe2Alg17",  3,"TRASE2    ","Total of transport in sediment for BloomAlg17     "
"TrSe2Alg18",  3,"TRASE2    ","Total of transport in sediment for BloomAlg18     "
"TrSe2Alg19",  3,"TRASE2    ","Total of transport in sediment for BloomAlg19     "
"TrSe2Alg20",  3,"TRASE2    ","Total of transport in sediment for BloomAlg20     "
"TrSe2Alg21",  3,"TRASE2    ","Total of transport in sediment for BloomAlg21     "
"TrSe2Alg22",  3,"TRASE2    ","Total of transport in sediment for BloomAlg22     "
"TrSe2Alg23",  3,"TRASE2    ","Total of transport in sediment for BloomAlg23     "
"TrSe2Alg24",  3,"TRASE2    ","Total of transport in sediment for BloomAlg24     "
"TrSe2Alg25",  3,"TRASE2    ","Total of transport in sediment for BloomAlg25     "
"TrSe2Alg26",  3,"TRASE2    ","Total of transport in sediment for BloomAlg26     "
"TrSe2Alg27",  3,"TRASE2    ","Total of transport in sediment for BloomAlg27     "
"TrSe2Alg28",  3,"TRASE2    ","Total of transport in sediment for BloomAlg28     "
"TrSe2Alg29",  3,"TRASE2    ","Total of transport in sediment for BloomAlg29     "
"TrSe2Alg30",  3,"TRASE2    ","Total of transport in sediment for BloomAlg30     "
"UlvaFix_P ",123,"ULFIX     ","Fixation of BLOOM algae at the bottom             "
"UlvaFix   ",123,"ULFIX     ","Fixation of BLOOM algae at the bottom             "
"CONSBL    ",123,"CONSBL    ","Grazing module                                    "
"SwOXYParWK",123,"SWOXY     ","Calculates Crit Oxygen conc. for partitioning     "
"TrCoef_153",123,"TRCOEF    ","Gas and liquid exchange coefficients PCB-153      "
"Volat_153 ",123,"VERVLU    ","Atmospheric exch. 153 (volatilization/intake)     "
"TrCoef_HCB",123,"TRCOEF    ","Gas and liquid exchange coefficients HCB          "
"Volat_HCB ",123,"VERVLU    ","Atmospheric exch. HCB (volatilization/intake)     "
"TrCoef_HCH",123,"TRCOEF    ","Gas and liquid exchange coefficients HCH          "
"Volat_HCH ",123,"VERVLU    ","Atmospheric exch. HCH (volatilization/intake)     "
"TrCoef_Flu",123,"TRCOEF    ","Gas and liquid exchange coefficients Flu          "
"Volat_Flu ",123,"VERVLU    ","Atmospheric exch. Flu (volatilization/intake)     "
"TrCoef_BaP",123,"TRCOEF    ","Gas and liquid exchange coefficients BaP          "
"Volat_BaP ",123,"VERVLU    ","Atmospheric exch. BaP (volatilization/intake)     "
"TrCoef_Atr",123,"TRCOEF    ","Gas and liquid exchange coefficients Atr          "
"Volat_Atr ",123,"VERVLU    ","Atmospheric exch. Atr (volatilization/intake)     "
"TrCoef_Mef",123,"TRCOEF    ","Gas and liquid exchange coefficients Mef          "
"Volat_Mef ",123,"VERVLU    ","Atmospheric exch. Mef (volatilization/intake)     "
"TrCoef_Diu",123,"TRCOEF    ","Gas and liquid exchange coefficients Diu          "
"Volat_Diu ",123,"VERVLU    ","Atmospheric exch. Diu (volatilization/intake)     "
"Los_WK_153",123,"DEGMP     ","Overall loss of 153 from water column             "
"Los_WK_HCB",123,"DEGMP     ","Overall loss of HCB from water column             "
"Los_WK_HCH",123,"DEGMP     ","Overall loss of HCH from water column             "
"Los_WK_Flu",123,"DEGMP     ","Overall loss of Flu from water column             "
"Los_WK_BaP",123,"DEGMP     ","Overall loss of BaP from water column             "
"Los_WK_Atr",123,"DEGMP     ","Overall loss of Atr from water column             "
"Los_WK_Mef",123,"DEGMP     ","Overall loss of Mef from water column             "
"Los_WK_Diu",123,"DEGMP     ","Overall loss of Diu from water column             "
"Los_S1_153",123,"DEGMP     ","Overall loss of 153 from S1                       "
"Los_S1_HCB",123,"DEGMP     ","Overall loss of HCB from S1                       "
"Los_S1_HCH",123,"DEGMP     ","Overall loss of HCH from S1                       "
"Los_S1_Flu",123,"DEGMP     ","Overall loss of Flu from S1                       "
"Los_S1_BaP",123,"DEGMP     ","Overall loss of BaP from S1                       "
"Los_S1_Atr",123,"DEGMP     ","Overall loss of Atr from S1                       "
"Los_S1_Mef",123,"DEGMP     ","Overall loss of Mef from S1                       "
"Los_S1_Diu",123,"DEGMP     ","Overall loss of Diu from S1                       "
"Los_S2_153",123,"DEGMP     ","Overall loss of 153 from S2                       "
"Los_S2_HCB",123,"DEGMP     ","Overall loss of HCB from S2                       "
"Los_S2_HCH",123,"DEGMP     ","Overall loss of HCH from S2                       "
"Los_S2_Flu",123,"DEGMP     ","Overall loss of Flu from S2                       "
"Los_S2_BaP",123,"DEGMP     ","Overall loss of BaP from S2                       "
"Los_S2_Atr",123,"DEGMP     ","Overall loss of Atr from S2                       "
"Los_S2_Mef",123,"DEGMP     ","Overall loss of Mef from S2                       "
"Los_S2_Diu",123,"DEGMP     ","Overall loss of Diu from S2                       "
"Sed_Cd    ",123,"SEDHM     ","Sedimentation adsorbed Cd                         "
"Sed_Cu    ",123,"SEDHM     ","Sedimentation adsorbed Cu                         "
"Sed_Zn    ",123,"SEDHM     ","Sedimentation adsorbed Zn                         "
"Sed_Hg    ",123,"SEDHM     ","Sedimentation adsorbed Hg                         "
"Sed_Ni    ",123,"SEDHM     ","Sedimentation adsorbed Ni                         "
"Sed_Pb    ",123,"SEDHM     ","Sedimentation adsorbed Pb                         "
"Sed_Cr    ",123,"SEDHM     ","Sedimentation adsorbed Cr                         "
"Sed_As    ",123,"SEDHM     ","Sedimentation adsorbed As                         "
"Sed_Va    ",123,"SEDHM     ","Sedimentation adsorbed Va                         "
"Sed_153   ",123,"SEDOMV    ","Sedimentation adsorbed 153                        "
"Sed_HCB   ",123,"SEDOMV    ","Sedimentation adsorbed HCB                        "
"Sed_HCH   ",123,"SEDOMV    ","Sedimentation adsorbed HCH                        "
"Sed_Flu   ",123,"SEDOMV    ","Sedimentation adsorbed Flu                        "
"Sed_Bap   ",123,"SEDOMV    ","Sedimentation adsorbed Bap                        "
"Sed_Atr   ",123,"SEDOMV    ","Sedimentation adsorbed Atr                        "
"Sed_Mef   ",123,"SEDOMV    ","Sedimentation adsorbed Mef                        "
"Sed_Diu   ",123,"SEDOMV    ","Sedimentation adsorbed Diu                        "
"S12TraAs  ",123,"S12TRA    ","Transport in S1-S2: As                            "
"S12TraCd  ",123,"S12TRA    ","Transport in S1-S2: Cd                            "
"S12TraCr  ",123,"S12TRA    ","Transport in S1-S2: Cr                            "
"S12TraCu  ",123,"S12TRA    ","Transport in S1-S2: Cu                            "
"S12TraHg  ",123,"S12TRA    ","Transport in S1-S2: Hg                            "
"S12TraNi  ",123,"S12TRA    ","Transport in S1-S2: Ni                            "
"S12TraPb  ",123,"S12TRA    ","Transport in S1-S2: Pb                            "
"S12TraVa  ",123,"S12TRA    ","Transport in S1-S2: Va                            "
"S12TraZn  ",123,"S12TRA    ","Transport in S1-S2: Zn                            "
"S12Tra153 ",123,"S12TRA    ","Transport in S1-S2: 153                           "
"S12TraAtr ",123,"S12TRA    ","Transport in S1-S2: Atr                           "
"S12TraMef ",123,"S12TRA    ","Transport in S1-S2: Mef                           "
"S12TraDiu ",123,"S12TRA    ","Transport in S1-S2: Diu                           "
"S12TraBaP ",123,"S12TRA    ","Transport in S1-S2: BaP                           "
"S12TraOMP ",123,"S12TRA    ","Transport in S1-S2: OMP                           "
"S12TraFlu ",123,"S12TRA    ","Transport in S1-S2: Flu                           "
"S12TraHCB ",123,"S12TRA    ","Transport in S1-S2: HCB                           "
"S12TraHCH ",123,"S12TRA    ","Transport in S1-S2: HCH                           "
"Evap_Conti",123,"ATMDEP    ","Evaporation and rain continuity                   "
"AtmDep_IM1",123,"ATMDEP    ","Atmospheric deposition IM1                        "
"AtmDep_IM2",123,"ATMDEP    ","Atmospheric deposition IM2                        "
"AtmDep_IM3",123,"ATMDEP    ","Atmospheric deposition IM3                        "
"Dfwast_IM1",123,"ATMDEP    ","Diffusive waste IM1                               "
"Dfwast_IM2",123,"ATMDEP    ","Diffusive waste IM2                               "
"Dfwast_IM3",123,"ATMDEP    ","Diffusive waste IM3                               "
"AtmDep_NH4",123,"ATMDEP    ","Atmospheric deposition NH4                        "
"AtmDep_NO3",123,"ATMDEP    ","Atmospheric deposition NO3                        "
"AtmDep_PO4",123,"ATMDEP    ","Atmospheric deposition PO4                        "
"AtmDep_SO4",123,"ATMDEP    ","Atmospheric deposition SO4                        "
"AtmDep_153",123,"ATMDEP    ","Atmospheric deposition 153                        "
"AtmDep_HCB",123,"ATMDEP    ","Atmospheric deposition HCB                        "
"AtmDep_HCH",123,"ATMDEP    ","Atmospheric deposition HCH                        "
"AtmDep_Flu",123,"ATMDEP    ","Atmospheric deposition Flu                        "
"AtmDep_Bap",123,"ATMDEP    ","Atmospheric deposition Bap                        "
"AtmDep_Atr",123,"ATMDEP    ","Atmospheric deposition Atr                        "
"AtmDep_Mef",123,"ATMDEP    ","Atmospheric deposition Mef                        "
"AtmDep_Diu",123,"ATMDEP    ","Atmospheric deposition Diu                        "
"AtmDep_Cd ",123,"ATMDEP    ","Atmospheric deposition Cd                         "
"AtmDep_Cu ",123,"ATMDEP    ","Atmospheric deposition Cu                         "
"AtmDep_Zn ",123,"ATMDEP    ","Atmospheric deposition Zn                         "
"AtmDep_Hg ",123,"ATMDEP    ","Atmospheric deposition Hg                         "
"AtmDep_Ni ",123,"ATMDEP    ","Atmospheric deposition Ni                         "
"AtmDep_Pb ",123,"ATMDEP    ","Atmospheric deposition Pb                         "
"AtmDep_Cr ",123,"ATMDEP    ","Atmospheric deposition Cr                         "
"AtmDep_As ",123,"ATMDEP    ","Atmospheric deposition As                         "
"AtmDep_Va ",123,"ATMDEP    ","Atmospheric deposition Va                         "
"Dfwast_NO3",123,"ATMDEP    ","Diffusive waste NO3                               "
"Dfwast_NH4",123,"ATMDEP    ","Diffusive waste NH4                               "
"Dfwast_PO4",123,"ATMDEP    ","Diffusive waste PO4                               "
"Dfwast_Si ",123,"ATMDEP    ","Diffusive waste Si                                "
"Dfwast_SO4",123,"ATMDEP    ","Diffusive waste SO4                               "
"Dfwast_153",123,"ATMDEP    ","Diffusive waste 153                               "
"Dfwast_HCB",123,"ATMDEP    ","Diffusive waste HCB                               "
"Dfwast_HCH",123,"ATMDEP    ","Diffusive waste HCH                               "
"Dfwast_Flu",123,"ATMDEP    ","Diffusive waste Flu                               "
"Dfwast_Bap",123,"ATMDEP    ","Diffusive waste Bap                               "
"Dfwast_Atr",123,"ATMDEP    ","Diffusive waste Atr                               "
"Dfwast_Mef",123,"ATMDEP    ","Diffusive waste Mef                               "
"Dfwast_Diu",123,"ATMDEP    ","Diffusive waste Diu                               "
"Dfwast_Cd ",123,"ATMDEP    ","Diffusive waste Cd                                "
"Dfwast_Cu ",123,"ATMDEP    ","Diffusive waste Cu                                "
"Dfwast_Zn ",123,"ATMDEP    ","Diffusive waste Zn                                "
"Dfwast_Hg ",123,"ATMDEP    ","Diffusive waste Hg                                "
"Dfwast_Ni ",123,"ATMDEP    ","Diffusive waste Ni                                "
"Dfwast_Pb ",123,"ATMDEP    ","Diffusive waste Pb                                "
"Dfwast_Cr ",123,"ATMDEP    ","Diffusive waste Cr                                "
"Dfwast_As ",123,"ATMDEP    ","Diffusive waste As                                "
"Dfwast_Va ",123,"ATMDEP    ","Diffusive waste Va                                "
"NH3free   ",123,"NH3FRE    ","Calculation conc. unionized ammonia               "
"PosOXY    ",123,"POSOXY    ","Positive oxygen concentration                     "
"Secchi    ",123,"SECCHI    ","Secchi depth for visible-light (370-680nm)        "
"Prod_TEWOR",123,"PTEWOR    ","Production fluxes for TEWOR+                      "
"PartS1_OMP",123,"PARTMP    ","Partitioning OMP in S1                            "
"PartS2_OMP",123,"PARTMP    ","Partitioning OMP in S2                            "
"PartWK_OMP",123,"PARTMP    ","Partitioning OMP in water column                  "
"TrCoef_OMP",123,"TRCOEF    ","Gas and liquid exchange coefficients OMP          "
"Volat_OMP ",123,"VERVLU    ","Atmospheric exch. OMP (volatilization/intake)     "
"Los_WK_OMP",123,"DEGMP     ","Overall loss of OMP from water column             "
"Los_S1_OMP",123,"DEGMP     ","Overall loss of OMP from S1                       "
"Los_S2_OMP",123,"DEGMP     ","Overall loss of OMP from S2                       "
"Sed_OMP   ",123,"SEDOMV    ","Sedimentation adsorbed OMP                        "
"AtmDep_OMP",123,"ATMDEP    ","Atmospheric deposition OMP                        "
"Dfwast_OMP",123,"ATMDEP    ","Diffusive waste OMP                               "
"TraSe2_OMP",  3,"TRASE2    ","Total of transport in sediment for OMP            "
"Damrear   ",123,"STREAR    ","Reaeration at weirs                               "
"TRSOXY    ",  3,"TRSOXY    ","Correction vertical transport OXY emersion        "
"APATITE   ",123,"APATIT    ","Dissolution/precipitation of apatite-like mineral "
"HarveZoop ",123,"HARVES    ","Harvesting zooplankton-grazer1                    "
"HarveMuss ",123,"HARVES    ","Harvesting mussel-grazer2                         "
"HarveG3   ",123,"HARVES    ","Harvesting grazer3                                "
"HarveG4   ",123,"HARVES    ","Harvesting grazer4                                "
"HarveG5   ",123,"HARVES    ","Harvesting grazer5                                "
"VB01availN",123,"VEG2DN    ","Vegetation module VB01 availability of nutrients  "
"VBStatus01",123,"VBSTAT    ","Status of Vegation Biomass cohort 01              "
"VBGrowth01",123,"VBGRO     ","Vegation Biomass Growth                           "
"VBMort01  ",123,"VBMRT     ","Vegation Biomass Mortality                        "
"VB01_Mrt3W",123,"VEG3DX    ","Vegetation module mortality 3D flux water         "
"VB01_Mrt3S",123,"VEG3DX    ","Vegetation module mortality 3D flux sediment      "
"VB01Upt   ",123,"VBUPT     ","Vegetation Biomass Nutrient Uptake                "
"VB01_Upt3D",123,"VEG3DU    ","Vegetation module uptake 3D flux distribution     "
"VB02availN",123,"VEG2DN    ","Vegetation module VB02 availability of nutrients  "
"VBStatus02",123,"VBSTAT    ","Status of Vegation Biomass cohort 02              "
"VBGrowth02",123,"VBGRO     ","Vegation Biomass Growth                           "
"VBMort02  ",123,"VBMRT     ","Vegation Biomass Mortality                        "
"VB02_Mrt3W",123,"VEG3DX    ","Vegetation module mortality 3D flux water         "
"VB02_Mrt3S",123,"VEG3DX    ","Vegetation module mortality 3D flux sediment      "
"VB02Upt   ",123,"VBUPT     ","Vegetation Biomass Nutrient Uptake                "
"VB02_Upt3D",123,"VEG3DU    ","Vegetation module uptake 3D flux distribution     "
"VB03availN",123,"VEG2DN    ","Vegetation module VB03 availability of nutrients  "
"VBStatus03",123,"VBSTAT    ","Status of Vegation Biomass cohort 03              "
"VBGrowth03",123,"VBGRO     ","Vegation Biomass Growth                           "
"VBMort03  ",123,"VBMRT     ","Vegation Biomass Mortality                        "
"VB03_Mrt3W",123,"VEG3DX    ","Vegetation module mortality 3D flux water         "
"VB03_Mrt3S",123,"VEG3DX    ","Vegetation module mortality 3D flux sediment      "
"VB03Upt   ",123,"VBUPT     ","Vegetation Biomass Nutrient Uptake                "
"VB03_Upt3D",123,"VEG3DU    ","Vegetation module VB03 uptake 3D flux distribution"
"VB04availN",123,"VEG2DN    ","Vegetation module VB04 availability of nutrients  "
"VBStatus04",123,"VBSTAT    ","Status of Vegation Biomass cohort 04              "
"VBGrowth04",123,"VBGRO     ","Vegation Biomass Growth                           "
"VBMort04  ",123,"VBMRT     ","Vegation Biomass Mortality                        "
"VB04_Mrt3W",123,"VEG3DX    ","Vegetation module mortality 3D flux water         "
"VB04_Mrt3S",123,"VEG3DX    ","Vegetation module mortality 3D flux sediment      "
"VB04Upt   ",123,"VBUPT     ","Vegetation Biomass Nutrient Uptake                "
"VB04_Upt3D",123,"VEG3DU    ","Vegetation module VB04 uptake 3D flux distribution"
"VB05availN",123,"VEG2DN    ","Vegetation module VB05 availability of nutrients  "
"VBStatus05",123,"VBSTAT    ","Status of Vegation Biomass cohort 05              "
"VBGrowth05",123,"VBGRO     ","Vegation Biomass Growth                           "
"VBMort05  ",123,"VBMRT     ","Vegation Biomass Mortality                        "
"VB05_Mrt3W",123,"VEG3DX    ","Vegetation module mortality 3D flux water         "
"VB05_Mrt3S",123,"VEG3DX    ","Vegetation module mortality 3D flux sediment      "
"VB05Upt   ",123,"VBUPT     ","Vegetation Biomass Nutrient Uptake                "
"VB05_Upt3D",123,"VEG3DU    ","Vegetation module VB05 uptake 3D flux distribution"
"VB06availN",123,"VEG2DN    ","Vegetation module VB06 availability of nutrients  "
"VBStatus06",123,"VBSTAT    ","Status of Vegation Biomass cohort 06              "
"VBGrowth06",123,"VBGRO     ","Vegation Biomass Growth                           "
"VBMort06  ",123,"VBMRT     ","Vegation Biomass Mortality                        "
"VB06_Mrt3W",123,"VEG3DX    ","Vegetation module mortality 3D flux water         "
"VB06_Mrt3S",123,"VEG3DX    ","Vegetation module mortality 3D flux sediment      "
"VB06Upt   ",123,"VBUPT     ","Vegetation Biomass Nutrient Uptake                "
"VB06_Upt3D",123,"VEG3DU    ","Vegetation module VB06 uptake 3D flux distribution"
"VB07availN",123,"VEG2DN    ","Vegetation module VB07 availability of nutrients  "
"VBStatus07",123,"VBSTAT    ","Status of Vegation Biomass cohort 07              "
"VBGrowth07",123,"VBGRO     ","Vegation Biomass Growth                           "
"VBMort07  ",123,"VBMRT     ","Vegation Biomass Mortality                        "
"VB07_Mrt3W",123,"VEG3DX    ","Vegetation module mortality 3D flux water         "
"VB07_Mrt3S",123,"VEG3DX    ","Vegetation module mortality 3D flux sediment      "
"VB07Upt   ",123,"VBUPT     ","Vegetation Biomass Nutrient Uptake                "
"VB07_Upt3D",123,"VEG3DU    ","Vegetation module VB07 uptake 3D flux distribution"
"VB08availN",123,"VEG2DN    ","Vegetation module VB08 availability of nutrients  "
"VBStatus08",123,"VBSTAT    ","Status of Vegation Biomass cohort 08              "
"VBGrowth08",123,"VBGRO     ","Vegation Biomass Growth                           "
"VBMort08  ",123,"VBMRT     ","Vegation Biomass Mortality                        "
"VB08_Mrt3W",123,"VEG3DX    ","Vegetation module mortality 3D flux water         "
"VB08_Mrt3S",123,"VEG3DX    ","Vegetation module mortality 3D flux sediment      "
"VB08Upt   ",123,"VBUPT     ","Vegetation Biomass Nutrient Uptake                "
"VB08_Upt3D",123,"VEG3DU    ","Vegetation module VB08 uptake 3D flux distribution"
"VB09availN",123,"VEG2DN    ","Vegetation module VB09 availability of nutrients  "
"VBStatus09",123,"VBSTAT    ","Status of Vegation Biomass cohort 09              "
"VBGrowth09",123,"VBGRO     ","Vegation Biomass Growth                           "
"VBMort09  ",123,"VBMRT     ","Vegation Biomass Mortality                        "
"VB09_Mrt3W",123,"VEG3DX    ","Vegetation module mortality 3D flux water         "
"VB09_Mrt3S",123,"VEG3DX    ","Vegetation module mortality 3D flux sediment      "
"VB09Upt   ",123,"VBUPT     ","Vegetation Biomass Nutrient Uptake                "
"VB09_Upt3D",123,"VEG3DU    ","Vegetation module VB09 uptake 3D flux distribution"
